virus,term,estimate,std.error,statistic,p.value,ind
h1pdm,logHImid,-0.9789722961252052,0.37617272404909213,-2.6024542279079363,0.00925591697286,128
h1pdm,(Intercept),-1.2343320984607198,0.5821627470604328,-2.120252635012022,0.03398474572999984,129
h1pdm,logHImid,-0.6688187806208973,0.2420121378593001,-2.763575358396826,0.005717188889122255,129
h1pdm,(Intercept),-1.4189686606159286,0.4639046567039933,-3.058750629272815,0.0022226207683269045,130
h1pdm,logHImid,-0.4713950402376455,0.16629071737341397,-2.83476460793121,0.0045859462246090645,130
h1pdm,(Intercept),-1.2622354586695803,0.567657186182591,-2.223587561989523,0.026176206160974866,131
h1pdm,logHImid,-0.6533660727272653,0.2403822933835148,-2.7180291174144884,0.006567205857093541,131
h1pdm,(Intercept),-3.2756425758635817,0.7696326471872025,-4.256111779866878,2.0801273857731915e-5,133
h1pdm,logHImid,-0.1465248770995397,0.2221663974518324,-0.659527627850686,0.5095570108389746,133
h1pdm,(Intercept),-1.0665617511419148,0.5327192014955608,-2.002108705951727,0.04527304140229808,134
h1pdm,logHImid,-0.6886611174723214,0.2258126510850213,-3.0497012198534077,0.002290691262175374,134
h1pdm,(Intercept),-0.6126720751935941,0.7463144165751855,-0.8209302427857791,0.4116860034227879,135
h1pdm,logHImid,-1.0055172076456074,0.38935632065014075,-2.5825115821071334,0.009808406989237113,135
h1pdm,(Intercept),-0.5748833422501606,0.6407233530238676,-0.8972411252641599,0.36959026483486584,136
h1pdm,logHImid,-0.9534147684305913,0.32411733579860186,-2.941572890821917,0.0032654997975867586,136
h1pdm,(Intercept),-2.8022814538227423,0.554736222495224,-5.05155665014622,4.3822392242108586e-7,137
h1pdm,logHImid,-0.0650579538307868,0.150683677139289,-0.43175183315077,0.6659217906061328,137
h1pdm,(Intercept),-1.2071856657111462,0.8745764965370647,-1.3803088357520084,0.16749157562208508,138
h1pdm,logHImid,-0.938942165664682,0.44360885216467283,-2.1165992542370087,0.03429387347421788,138
h1pdm,(Intercept),-1.355411997181828,0.463468544820359,-2.9244961979182156,0.0034501429444904193,139
h1pdm,logHImid,-0.5136659458215226,0.17710529246116652,-2.900342156257995,0.0037275552286607848,139
h1pdm,(Intercept),-1.276211178525863,0.4301554426997975,-2.9668604691270217,0.0030085745943959716,140
h1pdm,logHImid,-0.4834933635713864,0.1614522449290125,-2.994652466950641,0.0027475769885141016,140
h1pdm,(Intercept),-2.4927056562040493,0.749766339364835,-3.3246433259670556,8.853171527561966e-4,141
h1pdm,logHImid,-0.4447714528283524,0.2660934514095073,-1.671485902687123,0.09462574092519434,141
h1pdm,(Intercept),-0.7142967217365823,0.6030632065519193,-1.18444752386844,0.23623595732444932,142
h1pdm,logHImid,-0.8670234619881072,0.29070769166637106,-2.9824579357299617,0.002859439390753533,142
h1pdm,(Intercept),-0.37810980738045724,0.8283443872802172,-0.45646450098121816,0.6480559924486436,143
h1pdm,logHImid,-1.1279290045787986,0.4543816484526559,-2.482338378805197,0.013052326341344908,143
h1pdm,(Intercept),-2.615046681166614,0.7411388490126255,-3.528416685551544,4.1805352209967436e-4,144
h1pdm,logHImid,-0.3861272277843728,0.2516811240770599,-1.5341922410762443,0.12498236587789645,144
h1pdm,(Intercept),-2.2122719638617037,0.5843735358943208,-3.78571551922874,1.5326693366280405e-4,145
h1pdm,logHImid,-0.3502855018883737,0.19240867340618298,-1.8205286471099251,0.06867853776880477,145
h1pdm,(Intercept),-1.3190770681278492,0.6009218739204615,-2.1950891211898926,0.028157205433013432,146
h1pdm,logHImid,-0.7028326214021318,0.2693620927336719,-2.6092484442383954,0.009074133515974052,146
h1pdm,(Intercept),-2.3642826838944893,0.5898488341924828,-4.008285762116066,6.116108675301076e-5,147
h1pdm,logHImid,-0.2712088831993675,0.17556947784507645,-1.5447382228856648,0.1224095954347048,147
h1pdm,(Intercept),-1.654255865192711,0.6083455308416043,-2.719270186639099,0.006542614140626614,148
h1pdm,logHImid,-0.5764942250143366,0.24272937871330075,-2.375049234131899,0.017546609550525255,148
h1pdm,(Intercept),-1.6727568013652963,0.6314384237774588,-2.649121020159576,0.008070142734917489,149
h1pdm,logHImid,-0.5736234418062496,0.24573005988056518,-2.334364147736154,0.019576662426086775,149
h1pdm,(Intercept),-0.8444046729856891,0.5635075956082923,-1.4984796648112177,0.1340086720979722,150
h1pdm,logHImid,-0.787246636300532,0.2599422113641749,-3.0285448145149925,0.0024573462739374925,150
h1pdm,(Intercept),-2.099465432776371,0.7534747153772972,-2.786378082674053,0.005330066381383572,151
